Date,open,high,low,close,volume
2023-12-07,14.634,14.794,14.29,14.768,1707374
2023-12-08,14.738,15.11,14.632,14.926,1905753
2023-12-11,14.846,15.058,14.76,15.052,1072823
2023-12-12,15.072,15.17,14.77,15.026,1659421
2023-12-13,14.98,15.07,14.42,14.678,1550151
2023-12-14,15.3,15.844,15.24,15.586,3873214
2023-12-15,15.62,15.7,15.062,15.088,2852825
2023-12-18,14.906,14.972,14.39,14.52,1829375
2023-12-19,14.536,14.924,14.334,14.596,1156952
2023-12-20,14.578,14.75,14.456,14.476,1493381
2023-12-21,14.174,14.274,13.964,14.108,1444418
2023-12-22,13.9,14.096,13.82,14.054,1132819
2023-12-27,14.22,14.342,14.046,14.232,1031192
2023-12-28,14.336,14.38,13.826,13.98,1334668
2023-12-29,14.0,14.104,13.744,13.782,1136904
2024-01-02,13.8,13.948,13.65,13.798,1440945
2024-01-03,13.726,13.93,13.506,13.694,1206808
2024-01-04,13.6,13.87,13.502,13.85,1117420
2024-01-05,13.71,13.922,13.51,13.86,1237066
2024-01-08,13.75,14.52,13.722,14.518,1673028
2024-01-09,14.64,14.656,14.292,14.492,1224088
2024-01-10,14.374,14.452,13.908,13.908,1812480
2024-01-11,14.08,14.712,14.08,14.176,2570158
2024-01-12,14.3,14.904,14.3,14.346,2831883
2024-01-15,13.446,13.65,13.152,13.152,5743855
2024-01-16,12.98,13.464,12.51,13.312,2614559
2024-01-17,12.826,13.598,12.764,12.764,2783194
2024-01-18,13.214,13.744,13.064,13.664,2979915
2024-01-19,13.758,14.034,13.61,13.64,2025314
2024-01-22,13.8,14.11,13.398,13.398,2021724
2024-01-23,13.472,14.136,13.332,14.096,2184028
2024-01-24,14.42,14.77,14.28,14.466,2354353
2024-01-25,14.41,14.502,14.11,14.192,1417665
2024-01-26,14.2,14.734,14.052,14.642,1972916
2024-01-29,14.56,14.774,14.354,14.63,1518504
2024-01-30,14.76,14.826,14.188,14.552,1851013
2024-01-31,14.5,14.546,13.94,14.15,1926762
2024-02-01,13.854,14.194,13.8,13.89,1132524
2024-02-02,14.05,14.714,13.854,14.004,2533310
2024-02-05,14.176,14.206,13.76,13.796,1439829
2024-02-06,13.864,14.176,13.722,14.176,1938956
2024-02-07,14.012,14.788,13.968,14.266,1916613
2024-02-08,14.27,14.642,14.242,14.41,1138336
2024-02-09,14.34,14.738,14.268,14.538,1690289
2024-02-12,14.678,15.814,14.652,15.814,3748294
2024-02-13,15.7,15.912,14.594,14.718,3259081
2024-02-14,14.686,15.25,14.58,15.25,1705716
2024-02-15,15.476,15.992,15.39,15.55,2666946
2024-02-16,15.7,15.914,15.24,15.424,2010147
2024-02-19,15.242,15.39,14.926,14.978,1459253
2024-02-20,14.856,14.91,14.59,14.84,1140632
2024-02-21,14.846,15.03,14.644,14.818,797234
2024-02-22,15.13,15.27,14.738,14.948,1780382
2024-02-23,14.98,15.1,14.6,14.85,1412041
2024-02-26,14.846,14.858,14.344,14.526,1760599
2024-02-27,14.4,15.03,14.4,15.024,1918438
2024-02-28,15.356,15.59,13.88,14.754,7016014
2024-02-29,14.704,15.54,14.422,15.22,5644526
2024-03-01,15.38,15.536,14.68,14.706,2919041
2024-03-04,14.69,14.798,14.058,14.184,2473600
2024-03-05,14.0,14.026,13.35,13.35,2861770
2024-03-06,13.164,13.49,13.08,13.226,1599679
2024-03-07,13.088,13.572,13.04,13.256,1479417
2024-03-08,13.122,13.256,12.828,12.98,2112274
2024-03-11,12.98,13.186,12.5,12.998,3770465
2024-03-12,13.1,13.45,13.034,13.278,1782437
2024-03-13,13.3,13.852,13.3,13.76,1819840
2024-03-14,13.69,13.92,13.52,13.554,1401867
2024-03-15,13.544,13.6,13.212,13.3,1657898
2024-03-18,13.3,13.526,13.188,13.224,797120
2024-03-19,13.192,13.514,13.09,13.514,982903
